SKU,date,PrevAVGCost,PrevAssignedCost,AVGCost,LatestDateCost,Type,GenPrice
A-D-00035,2019-01-04,30.03191489,44.0,32.05319149,42.24468085,A,62.0
A-D-00037,2019-01-04,729.4747474999999,730.0,766.5555555999999,181.81818180000002,A,974.0
A-D-00038,2019-01-04,2.222222222,1.8,0.0,0.0,E,3.6
A-E-00030,2019-01-04,38.74468085,50.0,51.95744681,66.29787234,C,145.0
A-E-00073,2019-01-04,13.42424242,15.0,12.696969699999999,14.14141414,A,22.0
A-E-00072,2019-01-04,99.2020202,107.0,117.23232320000001,105.2222222,A,152.0
A-D-00040,2019-01-04,27.25,35.0,31.9375,31.17708333,C,57.0
A-D-01232,2019-01-04,36.84507042,50.0,43.18309859,42.15492958,C,79.0
A-D-00091,2019-01-04,34.92063492,25.0,0.0,0.0,A,35.0
A-D-00116,2019-01-04,19.42465753,23.0,21.26027397,25.06849315,A,33.0
A-D-00127,2019-01-04,19.42465753,25.0,21.26027397,25.06849315,A,35.0
A-E-00036,2019-01-04,20.17204301,34.0,18.50537634,19.24731183,A,43.0
A-E-00108,2019-01-04,19.14285714,34.0,17.56122449,18.26530612,A,43.0
A-E-00039,2019-01-04,28.92929293,41.0,24.98989899,24.898989899999997,A,54.0
A-D-00042,2019-01-04,24.83838384,25.0,25.04040404,24.43434343,A,37.0
A-D-00043,2019-01-04,19.101010100000003,21.0,19.67676768,19.24242424,A,33.0
A-E-00040,2019-01-04,71.53763441,105.0,68.75268817,94.68817204,A,137.0
A-E-00109,2019-01-04,67.88775509999999,105.0,65.24489796,89.85714286,A,137.0
A-E-00042,2019-01-04,23.101010100000003,31.0,37.36363636,37.96969697,A,56.0
A-E-00044,2019-01-04,54.05050505,80.0,48.39393939,57.53535354,A,102.0
A-E-00046,2019-01-04,15.22580645,23.0,20.49462366,20.74193548,A,34.0
A-E-00048,2019-01-04,16.35051546,18.0,14.80412371,20.89690722,A,31.0
A-E-00051,2019-01-04,37.96969697,42.0,46.44444444,38.84848485,A,67.0
A-D-00044,2019-01-04,36.87878788,37.0,39.93939394,101.010101,A,61.0
A-D-00046,2019-01-04,10.19191919,14.0,8.98989899,8.98989899,A,21.0
A-G-00004,2019-01-04,26.27083333,30.0,26.30208333,26.875,A,44.0
A-G-00064,2019-01-04,25.125,30.0,25.89583333,24.85416667,A,44.0
A-I-00045,2019-01-04,63.54545455,64.0,64.52525253,73.19191919,A,105.0
A-I-00001,2019-01-04,49.87628866,57.0,56.93814433,72.45360825,B,103.0
A-I-00032,2019-01-04,34.85858586,35.0,45.02020202,46.33333333,B,75.0
A-I-00003,2019-01-04,0.0,62.0,0.0,0.0,B,99.0
A-I-00044,2019-01-04,0.0,42.0,0.0,0.0,B,73.0
A-I-00004,2019-01-04,59.35051546,66.0,60.80412371,62.18556701,B,95.0
A-I-00033,2019-01-04,48.25252525,49.0,47.85858586,46.76767677,B,71.0
A-I-00028,2019-01-04,0.0,66.0,0.0,0.0,B,95.0
A-I-00007,2019-01-04,142.49494950000002,143.0,172.2020202,137.7373737,B,213.0
A-I-00008,2019-01-04,155.7676768,189.0,211.6060606,237.66666669999998,B,297.0
A-I-00006,2019-01-04,94.54545455,120.0,198.0606061,198.0606061,B,244.0
A-I-00009,2019-01-04,31.05050505,32.0,21.25252525,20.36363636,B,42.0
A-I-00011,2019-01-04,34.67676768,38.0,32.54545455,36.696969700000004,B,59.0
A-I-00013,2019-01-04,58.07070707,59.0,81.87878788,73.34343434,B,114.0
A-I-00015,2019-01-04,77.57575758,85.0,79.71717172,80.80808081,A,122.0
A-I-00041,2019-01-04,68.96808511,85.0,68.78723404,68.39361702,C,114.0
A-I-00042,2019-01-04,68.07446809,75.0,69.23404255,68.37234043,C,114.0
A-I-00043,2019-01-04,73.60638298,78.0,69.64893617,68.46808511,C,114.0
A-I-00052,2019-01-04,35.62626263,38.0,32.39393939,36.67676768,B,59.0
A-I-00019,2019-01-04,39.8989899,46.0,38.35353535,38.35353535,A,62.0
A-I-00020,2019-01-04,48.88297872,55.0,58.42553191,65.40425532,A,95.0
A-E-00053,2019-01-04,68.81818182,95.0,65.50505051,62.82828283,C,116.0
